SOPs for Operations Managerment:

- Business Unit: Compliance | SOP Type: Policy | Number: POL-COM-001 | Title: Business Continuity | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-006 | Title: Biological Lab Safety Manual | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-007 | Title: P2(BSL-2) Laboratory Management | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-026 | Title: Receipt and Management of Chemical, Biological Reagent, Kit and Consumables | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-029 | Title: Management of Reference Standards and Standard Solutions | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-030 | Title: Management of Sample and Blank Matrix | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-032 | Title: Solution Preparation and Labeling | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-034 | Title: Equipment Management | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-039 | Title: Management and Maintenance of Labguard system | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-040 | Title: Use of Pipette | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-047 | Title: Use of Thermostatic Water Bath | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-050 | Title: Use of Measuring Container | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-054 | Title: Use of Evaporation Concentrator | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-056 | Title: Operation, Maintenance and calibration of pH Meter | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-058 | Title: Operation, Calibration and Maintenance of Autoclave | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-063 | Title: Clinical Blind Project Management | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LB-066 | Title: Operation, Maintenance and Calibration of Liquid Handing System | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-A01 | Title: Lab Management and Quality Management | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-A02 | Title: Investigation and Resolution of Unexpected Event | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-A03 | Title: Project Personnel Assignment for Analytical Laboratory | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-G01  | Title: Use and Management of LC Columns | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-M01 | Title: Method Validation for the Detection of Anti-drug Antibody(ies) (ADA) | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-M02 | Title: Sample Analysis Using Ligand Binding Assay | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-M03 | Title: Method Validation of LBA (Ligand Binding Assay) Biomarker Assay in Pre-clinical and Clinical Studies | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-M04 | Title: Method Validation of Ligand Binding Assay | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-M05 | Title: Method Validation for Detection of Neutralizing Anti-drug Antibody(ies) (NAb) | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-M06 | Title: Method Validation of ELISpot Assay in Pre-clinical and Clinical Studies | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-M07 | Title: Sample Analysis for Immunogenicity and Neutralizing Antibodies Assay | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-R01  | Title: Use of Air Compressor System | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-T01 | Title: Management and Maintenance of Watson LIMS | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-T02 | Title: Procedure for General Usage and Implementation of Watson LIMS | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-V01 | Title: Management of Working sheet and Notebook | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-V02 | Title: Archive Management | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: SOP-LLB-V03  | Title: Data Rounding and Concentration Unit Expression | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-002 | Title: Use of AB SCIEX LC/MS/MS system, AB SCIEX LCMSMS 系統操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-008 | Title: Use of Balance, 天平操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-014 | Title: Use of vortex, 均勻震盪器操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-021 | Title: Use of Ultra-Sonicator, 超音波洗淨器操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-024 | Title: Use of fume hood and ventilating apparatuses, 局部排氣裝置操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-078 | Title: Use of Nitrogen Generator, 氮氣製造機操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-083 | Title: Use of biological safety cabinet, 生物安全操作台操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-092 | Title: Use of Homogenizer, 高速分散均質機操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-093 | Title: Use of Air Velocity Meter, 風速計操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-096 | Title: Use of Agilent 1200 Series HPLC System, Agilent 1200 Series HPLC 系統操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-104 | Title: Use of Hotplate Stirrer, 加熱攪拌器操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-105 | Title: Use of Plate Sealer, 封膜機操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-106 | Title: Use of Pressure Manifold, 萃取槽操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-109 | Title: Use of Thermometer and Hygrometer, 溫度計及溼度計操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-111 | Title: Use of Stat FaxR 2200 Micro-plate incubator/shaker, Stat Fax® 2200 微盤震盪器操作 | Group: Small Molecular Lab
- Business Unit: Laboratory | SOP Type: SOP | Number: X-121 | Title: Use of Electronic Balances Ionizer, 除靜電器操作 | Group: Small Molecular Lab
- Business Unit: Learning and Development | SOP Type: SOP | Number: SOP-LND-001 | Title: Training Management | Group: Small Molecular Lab
- Business Unit: Legal | SOP Type: Policy | Number: POL-LGL-001 | Title: Electronic Signatures | Group: Small Molecular Lab
- Business Unit: Quality Assurance | SOP Type: Policy | Number: POL-QAD-001 | Title: Good Documentation Practices | Group: Small Molecular Lab
- Business Unit: Quality Assurance | SOP Type: Policy | Number: POL-QAD-002 | Title: Quality Management | Group: Small Molecular Lab
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-001 | Title: Development and Control of Quality Documents | Group: Small Molecular Lab
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-003 | Title: Non-compliance and Quality Issue Management | Group: Small Molecular Lab
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-004 | Title: Managing Client Audits and Qualifications | Group: Small Molecular Lab
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-005 | Title: Regulatory Authority Inspections | Group: Small Molecular Lab
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-007 | Title: Scientific Fraud and/or Serious Misconduct | Group: Small Molecular Lab
- Business Unit: Quality Assurance | SOP Type: SOP | Number: SOP-QAD-008 | Title: Client Feedback | Group: Small Molecular Lab
